"","state","Lose 1 Seat","Gain 1 Seat"
"Alabama","Alabama","-210,000","530,000"
"Alaska","Alaska","      NA","300,000"
"Arizona","Arizona","-400,000","340,000"
"Arkansas","Arkansas","-470,000","270,000"
"California","California","-120,000","670,000"
"Colorado","Colorado","-450,000","280,000"
"Connecticut","Connecticut","-420,000","320,000"
"Delaware","Delaware","      NA","120,000"
"Florida","Florida","-120,000","640,000"
"Georgia","Georgia","-170,000","580,000"
"Hawaii","Hawaii","-370,000","390,000"
"Idaho","Idaho","-580,000","180,000"
"Illinois","Illinois","-470,000","290,000"
"Indiana","Indiana","-490,000","250,000"
"Iowa","Iowa","-600,000","140,000"
"Kansas","Kansas","-410,000","330,000"
"Kentucky","Kentucky","-470,000","270,000"
"Louisiana","Louisiana","-680,000"," 60,000"
"Maine","Maine","-340,000","420,000"
"Maryland","Maryland","-490,000","250,000"
"Massachusetts","Massachusetts","-550,000","190,000"
"Michigan","Michigan","-350,000","400,000"
"Minnesota","Minnesota"," -10,000","740,000"
"Mississippi","Mississippi","-530,000","210,000"
"Missouri","Missouri","-710,000"," 30,000"
"Montana","Montana","      NA"," 30,000"
"Nebraska","Nebraska","-100,000","640,000"
"Nevada","Nevada","-260,000","480,000"
"New Hampshire","New Hampshire","-320,000","430,000"
"New Jersey","New Jersey","-670,000"," 80,000"
"New Mexico","New Mexico","-340,000","410,000"
"New York","New York","-640,000","120,000"
"North Carolina","North Carolina","-720,000"," 30,000"
"North Dakota","North Dakota","      NA","340,000"
"Ohio","Ohio","-590,000","160,000"
"Oklahoma","Oklahoma","-600,000","140,000"
"Oregon","Oregon","-680,000"," 60,000"
"Pennsylvania","Pennsylvania","-340,000","410,000"
"Rhode Island","Rhode Island"," -60,000","700,000"
"South Carolina","South Carolina"," -60,000","680,000"
"South Dakota","South Dakota","      NA","200,000"
"Tennessee","Tennessee","-360,000","380,000"
"Texas","Texas","-100,000","670,000"
"Utah","Utah","-320,000","420,000"
"Vermont","Vermont","      NA","390,000"
"Virginia","Virginia","-610,000","140,000"
"Washington","Washington"," -30,000","710,000"
"West Virginia","West Virginia","-130,000","620,000"
"Wisconsin","Wisconsin","-400,000","340,000"
"Wyoming","Wyoming","      NA","450,000"
