"","-1","+1"
"Alabama",-20000,770000
"Alaska",NA,340000
"Arizona",-50000,750000
"Arkansas",-420000,370000
"California",-130000,810000
"Colorado",-80000,710000
"Connecticut",-220000,570000
"Delaware",NA,110000
"Florida",-650000,190000
"Georgia",-390000,410000
"Hawaii",-360000,440000
"Idaho",-7e+05,110000
"Illinois",-360000,450000
"Indiana",-320000,470000
"Iowa",-560000,230000
"Kansas",-310000,470000
"Kentucky",-360000,430000
"Louisiana",-550000,240000
"Maine",-280000,520000
"Maryland",-430000,370000
"Massachusetts",-530000,260000
"Michigan",-620000,180000
"Minnesota",-750000,40000
"Mississippi",-390000,4e+05
"Missouri",-510000,280000
"Montana",NA,20000
"Nebraska",-90000,7e+05
"Nevada",-440000,350000
"New Hampshire",-3e+05,5e+05
"New Jersey",-280000,520000
"New Mexico",-260000,530000
"New York",-4e+05,440000
"North Carolina",-250000,550000
"North Dakota",NA,320000
"Ohio",-60000,750000
"Oklahoma",-590000,2e+05
"Oregon",-80000,710000
"Pennsylvania",-420000,390000
"Rhode Island",NA,20000
"South Carolina",-220000,570000
"South Dakota",NA,2e+05
"Tennessee",-4e+05,390000
"Texas",-540000,320000
"Utah",-560000,220000
"Vermont",NA,450000
"Virginia",-640000,150000
"Washington",-410000,380000
"West Virginia",-750000,50000
"Wisconsin",-2e+05,6e+05
"Wyoming",NA,5e+05
