Alabama 4,663.9 92.5 4.8 0.8 2.8 0.13 1.24 7.7 1.4
Alaska 629.1 93.7 4.8 0.9 1.4 -0.85 2.22 5.5 2.3
Arizona 6,252.6 92.3 4.3 0.4 3.4 -0.42 1.19 7.3 1.2
Arkansas 2,837.0 94.2 4.2 0.6 1.6 -0.41 1.45 5.4 1.5
California 36,434.1 95.1 3.2 0.1 1.7 0.26 0.73 5.1 0.7
Colorado 4,913.3 93.8 2.9 0.4 3.3 -0.29 1.23 5.9 1.2
Connecticut 3,455.9 95.7 3.0 0.5 1.3 -0.45 1.34 3.9 1.4
Delaware 873.5 94.3 2.8 0.7 2.8 0.55 1.93 6.2 1.9
Florida 18,379.6 92.9 4.5 0.4 2.7 0.45 0.86 7.5 0.9
Georgia 9,434.5 93.5 3.1 0.3 3.3 0.91 1.04 7.3 1.0
Hawaii 1,317.4 91.8 5.2 0.5 3.0 -0.44 2.08 7.8 2.0
Idaho 1,538.6 94.2 3.2 0.6 2.6 -0.03 1.70 5.8 1.7
Illinois 12,528.9 95.0 3.3 0.4 1.8 -0.48 1.02 4.6 1.1
Indiana 6,296.9 95.7 3.2 0.5 1.1 -0.67 1.14 3.6 1.2
Iowa 2,948.2 97.1 2.0 0.4 0.9 -0.28 1.41 2.6 1.4
Kansas 2,774.0 95.6 3.7 0.7 0.7 -0.67 1.44 3.7 1.5
Kentucky 4,213.5 94.4 3.7 0.5 1.8 -0.13 1.28 5.5 1.3
Louisiana 4,405.9 92.9 4.0 0.5 3.1 -0.38 1.31 6.8 1.3
Maine 1,292.8 96.4 2.5 0.6 1.1 0.65 1.99 4.2 2.0
Maryland 5,635.2 94.9 3.4 0.5 1.8 0.94 1.19 6.0 1.2
Massachusetts 6,308.7 93.8 5.1 0.8 1.1 -0.52 1.15 5.7 1.4
Michigan 9,654.6 94.9 3.5 0.4 1.6 -0.66 1.02 4.5 1.0
Minnesota 5,168.5 95.1 3.9 1.2 1.0 -0.56 1.20 4.4 1.7
Mississippi 2,875.3 91.3 6.7 1.1 1.9 0.24 1.45 8.9 1.7
Missouri 5,814.8 94.9 3.4 0.5 1.8 -0.66 1.19 4.5 1.2
Montana 960.6 93.3 3.8 0.5 2.9 -0.65 2.01 6.1 1.9
Nebraska 1,775.2 96.4 2.4 0.3 1.3 -0.54 1.61 3.1 1.6
Nevada 2,664.4 93.0 2.9 0.3 4.1 -0.04 1.46 6.9 1.4
NewHampshire 1,276.4 95.6 3.3 0.8 1.1 0.60 2.07 5.0 2.1
NewJersey 8,605.0 95.1 3.3 0.4 1.6 -0.36 1.07 4.5 1.1
NewMexico 2,016.6 92.2 4.0 0.7 3.8 -0.16 1.58 7.7 1.6
NewYork 18,792.4 93.1 4.8 0.3 2.1 -0.79 0.92 6.1 0.9
NorthCarolina 9,278.2 92.8 4.4 0.7 2.8 0.52 1.03 7.6 1.2
NorthDakota 647.5 96.1 2.9 0.7 0.9 0.09 2.17 3.9 2.2
Ohio 11,230.2 95.7 2.9 0.3 1.4 -0.83 1.00 3.5 1.0
Oklahoma 3,639.3 92.6 6.0 0.8 1.4 -1.08 1.40 6.4 1.5
Oregon 3,744.4 96.0 2.4 0.5 1.6 0.02 1.32 4.0 1.4
Pennsylvania 12,276.3 95.6 3.1 0.3 1.2 0.14 0.97 4.5 1.0
RhodeIsland 1,009.9 93.3 5.0 0.9 1.7 -0.81 1.91 5.9 2.0
SouthCarolina 4,486.2 95.2 2.7 0.6 2.1 0.41 1.25 5.2 1.3
SouthDakota 780.1 95.2 2.9 0.6 1.9 0.10 2.05 4.9 2.0
Tennessee 6,192.6 94.3 3.5 0.4 2.2 0.12 1.15 5.8 1.2
Texas 24,564.4 94.0 3.5 0.3 2.6 0.97 0.85 6.9 0.8
Utah 2,717.7 94.6 4.0 1.6 1.4 -0.48 1.44 4.9 2.1
Vermont 600.4 95.9 3.7 0.7 0.5 1.29 2.43 5.4 2.4
Virginia 7,761.2 94.7 3.3 0.4 1.9 0.57 1.06 5.8 1.1
Washington 6,585.2 95.4 2.9 0.3 1.6 -0.10 1.14 4.5 1.1
WestVirginia 1,803.6 91.0 7.7 2.0 1.3 -1.43 1.70 7.7 2.6
Wisconsin 5,536.8 95.7 3.1 0.4 1.2 -0.17 1.20 4.1 1.2
Wyoming 549.9 93.2 4.2 0.7 2.6 -0.51 2.31 6.4 2.3
